108266.24,108266.24,1748525218
108266.24,108266.24,1748525219
108269.47,108269.47,1748525220
108269.46,108269.46,1748525221
108269.47,108269.47,1748525222
108272.73,108272.73,1748525223
108272.73,108272.73,1748525224
108272.72,108272.72,1748525225
108272.72,108272.72,1748525226
108272.73,108272.73,1748525227
108272.72,108272.72,1748525228
108272.72,108272.72,1748525229
108272.72,108272.72,1748525230
108272.73,108272.73,1748525231
108272.73,108272.73,1748525232
108272.72,108272.72,1748525234
108272.73,108272.73,1748525234
108272.72,108272.72,1748525235
108272.73,108272.73,1748525236
108272.72,108272.72,1748525237
108272.73,108272.73,1748525238
108272.72,108272.72,1748525239
108272.73,108272.73,1748525241
108272.72,108272.72,1748525241
108272.72,108272.72,1748525243
108268.91,108268.91,1748525244
108268.91,108268.91,1748525244
108268.92,108268.92,1748525245
108268.92,108268.92,1748525246
108268.91,108268.91,1748525247
108272.73,108272.73,1748525251
108272.72,108272.72,1748525251
108272.72,108272.72,1748525251
108272.72,108272.72,1748525251
108272.73,108272.73,1748525255
108272.73,108272.73,1748525255
108272.73,108272.73,1748525255
108272.72,108272.72,1748525255
108272.73,108272.73,1748525256
108272.72,108272.72,1748525257
108272.72,108272.72,1748525258
108272.72,108272.72,1748525259
108272.72,108272.72,1748525260
108272.73,108272.73,1748525261
108272.73,108272.73,1748525265
108272.72,108272.72,1748525265
108272.73,108272.73,1748525265
108272.72,108272.72,1748525267
108272.72,108272.72,1748525267
108272.73,108272.73,1748525267
108272.72,108272.72,1748525268
108272.73,108272.73,1748525269
108272.72,108272.72,1748525270
108272.72,108272.72,1748525272
108272.72,108272.72,1748525272
108272.73,108272.73,1748525273
108272.73,108272.73,1748525275
108283.00,108283.00,1748525276
108283.00,108281.46,1748525277
108299.84,108284.64,1748525277
108304.35,108285.29,1748525278
108306.57,108278.25,1748525279
108321.66,108284.32,1748525280
108318.73,108277.28,1748525282
108310.08,108281.44,1748525282
108310.07,108283.69,1748525284
108310.07,108280.08,1748525284
108310.07,108289.54,1748525285
108331.04,108289.38,1748525287
108330.89,108281.11,1748525287
108330.89,108278.77,1748525288
108330.90,108273.22,1748525290
108330.89,108290.50,1748525290
108330.89,108270.51,1748525291
108330.89,108266.70,1748525293
108330.89,108273.51,1748525293
108330.90,108285.79,1748525295
108330.89,108289.24,1748525295
108330.89,108291.23,1748525296
108330.89,108310.64,1748525297
108330.89,108288.74,1748525298
108330.89,108268.72,1748525299
108330.89,108263.92,1748525300
108330.89,108275.17,1748525301
108330.89,108294.33,1748525302
108330.90,108310.10,1748525303
108330.89,108308.98,1748525304
108330.89,108317.14,1748525305
108330.89,108336.72,1748525306
108330.90,108338.90,1748525307
108330.89,108330.46,1748525309
108322.00,108325.15,1748525309
108322.01,108341.65,1748525311
108322.01,108357.67,1748525311
108322.00,108373.47,1748525312
108322.00,108359.26,1748525313
108320.88,108368.96,1748525314
108320.25,108380.80,1748525315
108320.25,108369.72,1748525316
108320.25,108386.72,1748525317
108318.53,108402.72,1748525318
108318.54,108415.33,1748525319
108318.53,108421.59,1748525320
108318.53,108440.35,1748525321
108318.54,108419.43,1748525322
108318.53,108435.73,1748525323
108318.53,108455.35,1748525324
108316.98,108440.73,1748525325
108316.98,108433.36,1748525326
108316.97,108439.06,1748525327
108316.97,108438.64,1748525328
108316.97,108429.18,1748525329
108316.98,108423.24,1748525330
108316.98,108437.17,1748525332
108316.98,108439.38,1748525332
108316.97,108438.15,1748525333
108316.98,108442.91,1748525334
108316.97,108444.57,1748525335
108316.97,108442.64,1748525336
108316.97,108441.79,1748525337
108316.97,108434.90,1748525338
108316.97,108431.47,1748525339
108316.98,108436.66,1748525340
108316.98,108438.67,1748525342
108316.98,108439.21,1748525342
108316.98,108442.37,1748525343
108316.98,108445.97,1748525344
